,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.53,6.016149725096944,19.277500916605394
1,3300.0,7,125,-2,5,4.1216e-05,36.55,8.385643714366049,19.85664583711044
2,3300.0,7,125,-1,5,4.1216e-05,36.58,8.416891589560022,20.498522619289176
3,3300.0,7,125,0,5,4.1216e-05,36.61,8.516492041605996,22.006616976280345
4,3300.0,7,125,1,5,4.1216e-05,36.59,8.563949014557192,23.00630418357044
5,3300.0,7,125,2,5,4.1216e-05,36.62,8.564169916978946,24.0153065784707
6,3300.0,7,125,3,5,4.1216e-05,36.63,8.553526823404939,25.238897281152912
7,3300.0,7,125,4,5,4.1216e-05,36.62,8.495859935147939,26.640435634160955
8,3300.0,7,125,5,5,4.1216e-05,36.66,8.537791493598633,28.150736817402976
9,3300.0,7,125,6,5,4.1216e-05,36.67,8.500561258558974,30.035536371732793
10,3300.0,7,125,7,5,4.1216e-05,36.68,8.48542065508073,32.03389681444356
11,3300.0,7,125,8,5,4.1216e-05,36.68,8.483779790519087,34.36484263223182
12,3300.0,7,125,9,5,4.1216e-05,36.66,8.258100095565537,37.14046361438149
13,3300.0,7,125,10,5,4.1216e-05,36.66,8.488200206233671,40.166870069216465
14,3300.0,7,125,11,5,4.1216e-05,36.72,8.48063947129488,43.09511374490999
15,3300.0,7,125,12,5,4.1216e-05,36.67,8.484407000115686,45.985510166821264
16,3300.0,7,125,13,5,4.1216e-05,36.71,8.504112343789313,47.80003131442843
17,3300.0,7,125,14,5,4.1216e-05,36.74,8.495047625240515,48.849833412543504
18,3300.0,7,125,15,5,4.1216e-05,36.7,8.470935910874317,49.28399795249059
19,3300.0,7,250,-3,5,2.0608e-05,18.54,8.232697742529538,19.26119215961214
20,3300.0,7,250,-2,5,2.0608e-05,18.52,9.01417654904659,19.97985196729602
21,3300.0,7,250,-1,5,2.0608e-05,18.56,9.008650695732147,20.58526500917137
22,3300.0,7,250,0,5,2.0608e-05,18.52,9.114436232599065,22.092359132468534
23,3300.0,7,250,1,5,2.0608e-05,18.57,9.058804884122072,23.0837408263512
24,3300.0,7,250,2,5,2.0608e-05,18.57,9.029232672561427,24.08421559925264
25,3300.0,7,250,3,5,2.0608e-05,18.6,9.018027598354422,25.255051025564264
26,3300.0,7,250,4,5,2.0608e-05,18.64,9.015582727951479,26.59021295516273
27,3300.0,7,250,5,5,2.0608e-05,18.56,9.052981542357578,28.214140168563492
28,3300.0,7,250,6,5,2.0608e-05,18.64,9.059405758272062,29.93790360035495
29,3300.0,7,250,7,5,2.0608e-05,18.63,9.068893831560896,31.957490140770872
30,3300.0,7,250,8,5,2.0608e-05,18.62,9.066618680300186,34.294604867877
31,3300.0,7,250,9,5,2.0608e-05,18.61,8.88400909170148,37.00009938567888
32,3300.0,7,250,10,5,2.0608e-05,18.64,8.989096351036826,39.910899041692694
33,3300.0,7,250,11,5,2.0608e-05,18.69,8.803549156974501,42.7712941478639
34,3300.0,7,250,12,5,2.0608e-05,18.68,8.83322558561166,45.58633214640859
35,3300.0,7,250,13,5,2.0608e-05,18.69,8.892202480549987,47.37006635096211
36,3300.0,7,250,14,5,2.0608e-05,18.69,8.986885990120399,48.42020679700047
37,3300.0,7,250,15,5,2.0608e-05,18.68,8.871416464949343,48.864178099815106
38,3300.0,7,500,-3,5,1.0304e-05,9.55,8.852403787299952,19.478469169290307
39,3300.0,7,500,-2,5,1.0304e-05,9.56,9.23925265484638,20.06947310026812
40,3300.0,7,500,-1,5,1.0304e-05,9.52,9.148458493683814,20.781761662382443
41,3300.0,7,500,0,5,1.0304e-05,9.56,9.240120311381816,22.175275818923097
42,3300.0,7,500,1,5,1.0304e-05,9.54,9.322255010616425,23.187738231691537
43,3300.0,7,500,2,5,1.0304e-05,9.55,9.263020013466713,24.17094814754339
44,3300.0,7,500,3,5,1.0304e-05,9.59,9.238617211346908,25.216547808400804
45,3300.0,7,500,4,5,1.0304e-05,9.54,9.242916338453716,26.69398741437154
46,3300.0,7,500,5,5,1.0304e-05,9.59,9.380423096367599,28.083392838462558
47,3300.0,7,500,6,5,1.0304e-05,9.6,9.298909890129552,29.824450793496872
48,3300.0,7,500,7,5,1.0304e-05,9.61,9.125117671276548,31.74550159970761
49,3300.0,7,500,8,5,1.0304e-05,9.6,9.321346205362293,33.97220573883553
50,3300.0,7,500,9,5,1.0304e-05,9.61,9.27603002695233,36.552829439712006
51,3300.0,7,500,10,5,1.0304e-05,9.62,9.171212481269848,39.40507354857413
52,3300.0,7,500,11,5,1.0304e-05,9.64,9.168528756387396,42.2443350855524
53,3300.0,7,500,12,5,1.0304e-05,9.67,9.16108904908227,44.78889547489811
54,3300.0,7,500,13,5,1.0304e-05,9.74,9.159715236782977,46.290335177921406
55,3300.0,7,500,14,5,1.0304e-05,9.69,9.278260287150312,47.530264733075164
56,3300.0,7,500,15,5,1.0304e-05,9.69,9.100773075477395,47.94335203069011
57,3300.0,8,125,-3,5,8.2432e-05,62.43,10.487098208483209,19.22207785362064
58,3300.0,8,125,-2,5,8.2432e-05,62.4,6.020064459401888,19.894033256984045
59,3300.0,8,125,-1,5,8.2432e-05,62.46,6.11787840934984,20.563453016417427
60,3300.0,8,125,0,5,8.2432e-05,62.43,6.176328993384171,22.08822333151631
61,3300.0,8,125,1,5,8.2432e-05,62.47,6.112900867127633,23.100291978657413
62,3300.0,8,125,2,5,8.2432e-05,62.44,5.993175758436656,24.147126187050077
63,3300.0,8,125,3,5,8.2432e-05,62.46,5.998761924525386,25.35731371265208
64,3300.0,8,125,4,5,8.2432e-05,62.5,5.995473286020528,26.739606927845678
65,3300.0,8,125,5,5,8.2432e-05,62.48,6.024326669147552,28.321912431025137
66,3300.0,8,125,6,5,8.2432e-05,62.52,5.99707058192127,30.17443080725
67,3300.0,8,125,7,5,8.2432e-05,62.53,6.008485111540499,32.196741721285264
68,3300.0,8,125,8,5,8.2432e-05,62.54,5.996577690364733,34.55185076110864
69,3300.0,8,125,9,5,8.2432e-05,62.52,5.998716803870896,37.32098696010672
70,3300.0,8,125,10,5,8.2432e-05,62.54,5.997912655606025,40.3368539398006
71,3300.0,8,125,11,5,8.2432e-05,62.58,6.020842133333878,43.280013466782506
72,3300.0,8,125,12,5,8.2432e-05,62.62,5.997934408022742,46.1312831096071
73,3300.0,8,125,13,5,8.2432e-05,62.59,5.996760335390815,48.03707927064796
74,3300.0,8,125,14,5,8.2432e-05,62.6,5.994296238683095,49.09164095667661
75,3300.0,8,125,15,5,8.2432e-05,62.61,5.9995977131114,49.542342591113794
76,3300.0,8,250,-3,5,4.1216e-05,31.48,5.9965947566092845,19.402451188075396
77,3300.0,8,250,-2,5,4.1216e-05,31.49,7.928548838230246,20.073915988646615
78,3300.0,8,250,-1,5,4.1216e-05,31.54,7.9469208705195,20.701693056327247
79,3300.0,8,250,0,5,4.1216e-05,31.48,7.998951461801889,22.2588006563289
80,3300.0,8,250,1,5,4.1216e-05,31.51,8.05678331251913,23.22915009081749
81,3300.0,8,250,2,5,4.1216e-05,31.5,8.127768248748488,24.261418409825932
82,3300.0,8,250,3,5,4.1216e-05,31.52,8.035579325961262,25.453331283502582
83,3300.0,8,250,4,5,4.1216e-05,31.52,8.187526444551292,26.82853815936454
84,3300.0,8,250,5,5,4.1216e-05,31.54,8.188726947599582,28.414143814711352
85,3300.0,8,250,6,5,4.1216e-05,31.53,8.246772007966243,30.25730086070385
86,3300.0,8,250,7,5,4.1216e-05,31.55,8.230487448599902,32.25372336643422
87,3300.0,8,250,8,5,4.1216e-05,31.55,8.049794815948687,34.56982256960639
88,3300.0,8,250,9,5,4.1216e-05,31.53,8.173048717994565,37.34389408251646
89,3300.0,8,250,10,5,4.1216e-05,31.59,8.030975543671044,40.27504659326951
90,3300.0,8,250,11,5,4.1216e-05,31.61,7.894747611389778,43.256049089848695
91,3300.0,8,250,12,5,4.1216e-05,31.61,7.9772457602617015,46.03619174312222
92,3300.0,8,250,13,5,4.1216e-05,31.57,8.014093691831386,47.93322588218143
93,3300.0,8,250,14,5,4.1216e-05,31.67,8.098909859669774,48.90954993166666
94,3300.0,8,250,15,5,4.1216e-05,31.63,7.947563737727542,49.40123356572311
95,3300.0,8,500,-3,5,2.0608e-05,16.01,7.622518329185708,19.707653711988886
96,3300.0,8,500,-2,5,2.0608e-05,15.98,8.82553005850496,20.39322269642863
97,3300.0,8,500,-1,5,2.0608e-05,15.99,8.819137410101025,21.030061813054065
98,3300.0,8,500,0,5,2.0608e-05,16.0,8.715531080143348,22.531400706121445
99,3300.0,8,500,1,5,2.0608e-05,16.0,8.63967751491218,23.53669948966762
100,3300.0,8,500,2,5,2.0608e-05,16.02,8.87625777033047,24.51587446617166
101,3300.0,8,500,3,5,2.0608e-05,16.05,8.880020320842359,25.669528611691995
102,3300.0,8,500,4,5,2.0608e-05,16.02,8.872635056074419,27.060243545252884
103,3300.0,8,500,5,5,2.0608e-05,16.06,8.770827968851593,28.549796287226176
104,3300.0,8,500,6,5,2.0608e-05,16.05,8.736818461687362,30.36075493497915
105,3300.0,8,500,7,5,2.0608e-05,16.09,8.767872000950959,32.30889584956886
106,3300.0,8,500,8,5,2.0608e-05,16.1,8.826688523346446,34.58745015985387
107,3300.0,8,500,9,5,2.0608e-05,16.12,8.75595643384433,37.210567514150284
108,3300.0,8,500,10,5,2.0608e-05,16.08,8.79804664133053,40.22538882760228
109,3300.0,8,500,11,5,2.0608e-05,16.1,8.817418927062707,43.12033273700013
110,3300.0,8,500,12,5,2.0608e-05,16.08,8.803934543502157,45.93472057181933
111,3300.0,8,500,13,5,2.0608e-05,16.13,8.80954654723737,47.65482967735543
112,3300.0,8,500,14,5,2.0608e-05,16.1,8.796100475436909,48.814061367281624
113,3300.0,8,500,15,5,2.0608e-05,16.15,8.797836422317861,49.10694163610712
114,3300.0,9,125,-3,5,0.000144384,124.4,7.8554254778983905,19.271370462100155
115,3300.0,9,125,-2,5,0.000144384,124.41,5.970028446489981,19.934433022987406
116,3300.0,9,125,-1,5,0.000144384,124.48,5.975048589646039,20.609004050924288
117,3300.0,9,125,0,5,0.000144384,124.45,5.976901575750641,22.131767226267588
118,3300.0,9,125,1,5,0.000144384,124.42,5.977997008659672,23.17401928256027
119,3300.0,9,125,2,5,0.000144384,124.44,5.979332351953165,24.191507254455733
120,3300.0,9,125,3,5,0.000144384,124.45,5.978310500028182,25.41145898236238
121,3300.0,9,125,4,5,0.000144384,124.44,5.980446440388657,26.82301690267098
122,3300.0,9,125,5,5,0.000144384,124.46,5.977462997631266,28.40147929857096
123,3300.0,9,125,6,5,0.000144384,124.46,5.979041169697953,30.248394924816033
124,3300.0,9,125,7,5,0.000144384,124.51,5.981080236628622,32.30783767096298
125,3300.0,9,125,8,5,0.000144384,124.56,5.982810578250616,34.64554073056309
126,3300.0,9,125,9,5,0.000144384,124.47,5.983623698353823,37.43540041226267
127,3300.0,9,125,10,5,0.000144384,124.5,5.981469784151946,40.46748746460974
128,3300.0,9,125,11,5,0.000144384,124.53,5.9791445218204995,43.47674662286378
129,3300.0,9,125,12,5,0.000144384,124.54,5.975740967418421,46.349980682069045
130,3300.0,9,125,13,5,0.000144384,124.55,5.981258849537573,48.214121693320486
131,3300.0,9,125,14,5,0.000144384,124.53,5.973896004647539,49.30554370145645
132,3300.0,9,125,15,5,0.000144384,124.51,5.981931849250631,49.76115831917983
133,3300.0,9,250,-3,5,7.2192e-05,62.4,5.9972843302151535,19.506008837617195
134,3300.0,9,250,-2,5,7.2192e-05,62.45,6.926200979076736,20.16419105435952
135,3300.0,9,250,-1,5,7.2192e-05,62.48,7.225259892890508,20.834630225120232
136,3300.0,9,250,0,5,7.2192e-05,62.46,7.357119223104154,22.357757211717406
137,3300.0,9,250,1,5,7.2192e-05,62.47,7.304330664698386,23.383039520484672
138,3300.0,9,250,2,5,7.2192e-05,62.47,7.349489641560245,24.40920123315521
139,3300.0,9,250,3,5,7.2192e-05,62.46,7.110946510752391,25.627932617730053
140,3300.0,9,250,4,5,7.2192e-05,62.49,7.367523707778492,27.03035236113021
141,3300.0,9,250,5,5,7.2192e-05,62.53,7.367413003776286,28.592791088956282
142,3300.0,9,250,6,5,7.2192e-05,62.53,7.11852263311645,30.401498013965202
143,3300.0,9,250,7,5,7.2192e-05,62.6,7.124539773604283,32.44622967823679
144,3300.0,9,250,8,5,7.2192e-05,62.53,7.121458988140077,34.82251245529224
145,3300.0,9,250,9,5,7.2192e-05,62.54,7.360249428240702,37.56849722307557
146,3300.0,9,250,10,5,7.2192e-05,62.52,7.031111034466146,40.587667836095825
147,3300.0,9,250,11,5,7.2192e-05,62.57,7.178077730794398,43.644397342831596
148,3300.0,9,250,12,5,7.2192e-05,62.55,6.953932057937884,46.481409176652775
149,3300.0,9,250,13,5,7.2192e-05,62.57,6.874109589237379,48.335488535065856
150,3300.0,9,250,14,5,7.2192e-05,62.59,7.187500061335841,49.437963172858595
151,3300.0,9,250,15,5,7.2192e-05,62.67,7.010113256725573,49.76827413247686
152,3300.0,9,500,-3,5,3.6096e-05,31.47,6.811693593583831,19.93318071311217
153,3300.0,9,500,-2,5,3.6096e-05,31.54,8.32150768494761,20.57637003105186
154,3300.0,9,500,-1,5,3.6096e-05,31.51,8.513956733473819,21.235424949983937
155,3300.0,9,500,0,5,3.6096e-05,31.5,8.369108082241333,22.78557733385307
156,3300.0,9,500,1,5,3.6096e-05,31.48,8.576709082656574,23.790246908933145
157,3300.0,9,500,2,5,3.6096e-05,31.61,8.541125669542271,24.75840294372667
158,3300.0,9,500,3,5,3.6096e-05,31.49,8.421639013054024,25.971361795427416
159,3300.0,9,500,4,5,3.6096e-05,31.53,8.690141447790975,27.350536059144165
160,3300.0,9,500,5,5,3.6096e-05,31.53,8.684530976279591,28.935577254169235
161,3300.0,9,500,6,5,3.6096e-05,31.57,8.565870096928467,30.72864641671876
162,3300.0,9,500,7,5,3.6096e-05,31.59,8.682017489960524,32.77786433950868
163,3300.0,9,500,8,5,3.6096e-05,31.56,8.55742621693883,35.12821673752348
164,3300.0,9,500,9,5,3.6096e-05,31.6,8.425827936773416,37.8506766514242
165,3300.0,9,500,10,5,3.6096e-05,31.58,8.63462381908574,40.84882759188315
166,3300.0,9,500,11,5,3.6096e-05,31.59,8.558259479188697,43.84361359557634
167,3300.0,9,500,12,5,3.6096e-05,31.61,8.605702671692399,46.63420300722187
168,3300.0,9,500,13,5,3.6096e-05,31.61,8.48773051407919,48.47690639405513
169,3300.0,9,500,14,5,3.6096e-05,31.63,8.611038212697503,49.5078166650038
170,3300.0,9,500,15,5,3.6096e-05,31.66,8.503721745069221,49.92904010383746
171,3300.0,10,125,-3,5,0.000288768,248.27,8.510849401950301,19.288687419597842
172,3300.0,10,125,-2,5,0.000288768,248.31,5.986555980334754,19.97130417678758
173,3300.0,10,125,-1,5,0.000288768,248.26,5.981090470623443,20.6259049687687
